country,year,month,fx_reserves
china,2007,2,1159368.96489418
china,2007,7,1387187.80610763
china,2008,9,1907729.46041307
china,2008,12,1949259.95357011
china,2009,1,1916573.56459279
china,2011,12,3202788.47356349
china,2012,10,3307207.43435905
china,2013,12,3839547.76025293
china,2014,10,3869760.77071817
china,2015,6,3708950.61097493
china,2016,7,3221190.12194031
china,2016,12,3029775.3053784
china,2017,6,3076295.07638857
china,2018,4,3143582.22242371
china,2019,7,3123085.56717951
china,2007,4,1248568.50482287
china,2008,2,1649221.31336728
china,2013,5,3533032.69792945
china,2013,7,3566613.02673624
china,2014,4,3996796.52761301
china,2014,6,4010833.60828307
china,2014,7,3984242.57366235
china,2015,11,3453059.08778292
china,2018,8,3129124.60150958
china,2018,10,3072488.04475048
china,2020,11,3199686.22344924
china,2023,2,3195596.16328912
china,2023,9,3176997.44866201
china,2023,11,3234727.83368865
china,2023,12,3301319.72751898
china,2007,3,1204035.01302551
china,2007,11,1498941.89151449
china,2008,4,1758731.65941541
china,2008,6,1811063.37773284
china,2009,5,2093082.5050389
china,2012,7,3260210.087165
china,2014,5,4001511.50036582
china,2014,8,3986410.9099007
china,2014,9,3904950.28698285
china,2015,3,3744729.00092529
china,2015,7,3666142.43931241
china,2015,9,3529276.37548236
china,2016,3,3233786.80442482
china,2019,10,3124582.84972509
china,2020,2,3125925.09976201
china,2021,4,3220011.82696784
china,2021,5,3243778.69563898
china,2021,8,3295312.46211408
china,2022,8,3116343.160474
china,2023,10,3163119.24766741
china,2024,1,3282504.85198917
china,2008,8,1886314.07990983
china,2009,7,2178216.98480221
china,2010,7,2556433.04359217
china,2011,5,3188318.66466304
china,2013,4,3553491.22942367
china,2013,8,3571166.0004864
china,2013,11,3807719.59228129
china,2015,10,3540505.958348
china,2016,9,3186399.58976478
china,2018,3,3161783.55072097
china,2018,9,3106349.96905752
china,2019,1,3107195.14169596
china,2019,9,3111631.04653236
china,2022,10,3113218.61193976
china,2022,11,3178709.03740592
china,2023,8,3222723.05952683
china,2024,3,3308705.39678177
china,2006,4,897492.427615659
china,2006,9,990451.042782375
china,2006,11,1040927.09429175
china,2006,12,1068493.0298699
china,2007,12,1530281.62304337
china,2011,1,2952375.23179327
china,2011,4,3168475.71207907
china,2012,4,3320613.10441844
china,2012,5,3226641.24134358
china,2014,2,3931977.42574891
china,2017,5,3073321.27648482
china,2019,2,3109442.78919924
china,2020,5,3121640.26105813
china,2020,6,3132890.94428708
china,2021,1,3232949.76055315
china,2021,2,3227245.91756429
china,2021,6,3235723.81319699
china,2021,9,3264064.26110895
china,2022,7,3165993.70876725
china,2022,9,3089365.6205065
china,2008,1,1591861.82800488
china,2008,10,1881712.89473872
china,2009,9,2288469.2964998
china,2009,10,2344287.16672549
china,2010,1,2431961.07061391
china,2010,4,2506900.07269744
china,2010,8,2565270.15783765
china,2010,9,2666868.03530934
china,2011,9,3222986.86029711
china,2012,1,3275782.90907695
china,2013,3,3461598.81266941
china,2013,6,3515214.99129208
china,2014,11,3864037.22156732
china,2017,7,3099711.35813974
china,2017,11,3138006.43387096
china,2020,1,3134967.867876
china,2020,10,3148891.68759846
china,2006,2,856228.309677392
china,2006,3,877636.674334365
china,2006,5,927527.635605136
china,2006,8,974583.849529477
china,2006,10,1012004.36698892
china,2007,10,1456922.15375968
china,2008,3,1684280.18454895
china,2010,5,2456191.41012495
china,2012,11,3317109.77159393
china,2014,12,3859167.96299109
china,2015,8,3572636.7998686
china,2015,12,3345193.76388814
china,2016,8,3205213.40622211
china,2016,11,3071217.01162747
china,2018,1,3180492.33525188
china,2019,11,3114954.95000995
china,2020,12,3238782.37143372
china,2022,5,3190404.2495826
china,2007,9,1435612.75819148
china,2009,2,1915104.66791197
china,2009,3,1956829.62150994
china,2010,3,2463547.33339211
